,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
109,3296956211,Morning Cycle,2020-04-14T07:31:49Z,Ride,5444.2,1288,1322,30.7,"[53.524095, -6.679488]",
110,3293252944,Lunchtime Walk,2020-04-13T12:49:54Z,Walk,4741.2,3299,3380,22.3,"[53.535876, -6.71016]",
111,3284082170,Sprints,2020-04-11T13:13:23Z,Run,1774.9,1667,2561,0.0,"[53.523808, -6.673279]",
112,3283655342,Lunch Cycle,2020-04-11T12:01:18Z,Ride,5103.8,1048,1048,24.1,"[53.535954, -6.710573]",
113,3280555130,Afternoon Walk,2020-04-10T16:21:07Z,Walk,4697.1,3442,3898,19.6,"[53.535881, -6.710553]",8403fed9-e3bb-4a34-8fc4-241da7122fd0-activity.fit
114,3279473704,4km run + 300s x 10 🤕,2020-04-10T12:57:52Z,Run,7271.1,2203,2693,17.9,"[53.524293, -6.679387]",
115,3275193921,Lunchtime Walk,2020-04-09T13:03:47Z,Walk,4000.2,3062,3151,18.1,"[53.523845, -6.679411]",
116,3271860240,Sprint Session,2020-04-08T17:18:40Z,Run,2173.0,1609,1840,0.0,"[53.523986, -6.67223]",
117,3270846576,Lunchtime Walk & Puck,2020-04-08T13:20:13Z,Walk,3217.8,2461,3080,6.0,"[53.524019, -6.67961]",
118,3262059856,4km 🏃💨,2020-04-06T13:14:42Z,Run,4006.1,1069,1086,7.5,"[53.524444, -6.685159]",
119,3253755769,Sprints and ball work with Carragh,2020-04-04T14:05:34Z,Run,3341.5,2248,2781,0.0,"[53.524074, -6.672412]",
120,3247026922,Circuits Done 🥵 and 3km walk for recovery,2020-04-02T18:01:03Z,Run,3005.7,1761,2371,8.0,"[53.524184, -6.679688]",
121,3238044816,300s x 10,2020-03-31T13:33:58Z,Run,3299.3,731,1134,0.0,"[53.524579, -6.676382]",
122,3234485560,4km Run,2020-03-30T13:25:55Z,Run,4014.6,1049,1053,7.5,"[53.524481, -6.685218]",3da21a4e-b195-4527-803d-2dea896474a1-activity.fit
123,3229004522,Afternoon Run,2020-03-27T14:45:58Z,Run,5004.1,1351,1356,19.9,"[53.524133, -6.680562]",5.01km Run.tcx
124,3229003228,Afternoon Run,2020-03-26T13:03:40Z,Run,5010.2,1358,1366,19.9,"[53.524237, -6.681244]",5.01km Run1.tcx
125,3229001619,Afternoon Run,2020-03-23T17:00:08Z,Run,3155.2,910,917,6.5,"[53.524386, -6.681502]",3.16km Run2.tcx
126,3229000870,Morning Run,2020-03-22T10:22:14Z,Run,3035.8,826,831,5.9,"[53.524421, -6.681553]",3.04km Run.tcx
127,3228999704,Lunch Run,2020-03-15T12:00:12Z,Run,5024.1,1379,1384,19.9,"[53.52433, -6.681343]",5.03km Run.tcx
128,3228992795,Tara Hill Runs,2020-03-14T13:28:01Z,Run,3157.4,1125,1223,96.0,"[53.581515, -6.61051]",3.16km Run.tcx
